first_name,last_name,address,city,county,phone,SSN,bdate
James,Butt,6649 N Blue Gum St,New Orleans,Orleans,504-845-1427,264816896,10/10/68
Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,810-374-9840,240471168,11/1/75
Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,605-264-4130,285200976,11/13/82
Lenna,Paprocki,639 Main St,Anchorage,Anchorage,907-921-2010,309323096,8/9/78
Donette,Foller,34 Center St,Hamilton,Butler,513-549-4561,272610795,6/11/90
Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,419-800-6759,250951162,8/15/94
Mitsue,Tollner,7 Eads St,Chicago,Cook,773-924-8565,272913578,7/4/84
Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,408-813-1105,268682534,5/9/91
Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,605-794-4895,310908858,2/25/82
Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,410-804-4694,322273872,4/4/56
Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,215-422-8694,256558303,9/9/95
Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,631-677-3675,302548590,11/5/60
Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,310-254-3084,284965676,5/9/81
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,440-579-7763,277292710,2/25/82
Cammy,Albares,56 E Morehead St,Laredo,Webb,956-841-7216,331160133,4/4/56
Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,605-953-6360,331293204,9/9/95
Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,931-235-7959,290123298,11/2/60
Gladys,Rim,322 New Horizon Blvd,Milwaukee,Milwaukee,414-377-2880,286411536,5/9/91
Yuki,Whobrey,1 State Route 27,Taylor,Wayne,313-341-4470,294860856,2/25/85
Fletcher,Flosi,394 Manchester Blvd,Rockford,Winnebago,815-426-5657,317434088,4/4/61
